registration_no,category,name,email,telephone,address,validity,exchange_name,trade_name
INM000010478,Merchant Bankers,ANAND RATHI ADVISORS LIMITED,avnigaglani@rathi.com,02240477000,"Express Zone A Wing, 10th Floor, Western Express Highway, Goregaon East, MUMBAI, MAHARASHTRA, 400063","Aug 16, 2016 - Perpetual",,
INM000012740,Merchant Bankers,ARETE SECURITIES LIMITED,complianceofficer@spasec.in,9102240439000,"101 A, 10TH FLOOR, MITTAL COURT, NARIMAN POINT, MUMBAI, MAHARASHTRA, 400021","Nov 28, 2019 - Perpetual",,
INM000011070,Merchant Bankers,ARIHANT  CAPITAL MARKETS LTD,,02242254800,"E/5, Ratlam Kothi Area, INDORE, MADHYA PRADESH, 452001","Dec 12, 2015 - Perpetual",,
INM000013013,Merchant Bankers,Arpwood Capital Pvt Ltd.,raj.kataria@arpwood.com,912266217000,"51B, MAKER CHAMBER IV, JAMNALAL BAJAJ MARG, NARIMAN POINT, MUMBAI, MAHARASHTRA, 400021","Jun 16, 2023 - Perpetual",,
INM000011344,Merchant Bankers,ARYAMAN FINANCIAL SERVICES LIMITED,info@afsl.co.in,,"C/O THAKUR RESEARCH FOUNDATION,221-223,, DEEN DAYAL MARG, NEW DELHI, NEW DELHI, 110002","Sep 15, 2016 - Perpetual",,
INM000010536,Merchant Bankers,ASHIKA CAPITAL LTD,,02266111700,"TRINITY,, 226/1, A.J.C. BOSE ROAD, 7TH Floor,, KOLKATA, WEST BENGAL, 700020","Aug 16, 2014 - Perpetual",,
INM000012883,Merchant Bankers,ASPERO MARKETS PRIVATE LIMITED,compliance@aspero.in,9104440912302,"12TH FLOOR, PRESTIGE POLYGON, ANNA SALAI, NANDANAM, CHENNAI, TAMIL NADU, 600035","Dec 27, 2021 - Perpetual",,
INM000012268,Merchant Bankers,ATIVIR FINANCIAL CONSULTANTS PRIVATE LIMITED,,,,"Oct 30, 2015 - Perpetual",,
INM000011021,Merchant Bankers,Avendus Capital Private Limited,,,,"Oct 21, 2016 - Perpetual",,
INM000013226,Merchant Bankers,Axial Capital Private Limited,compliance@axialcapital.in,919773398470,"201, The Business Hub, Sir Mathuradas Road, Andheri East, MUMBAI, MAHARASHTRA, 400069","Oct 31, 2024 - Perpetual",,
INM000006104,Merchant Bankers,AXIS BANK LTD.(FORMERLY UTI BANK LTD.),,02267074407,"Trishul,3rd floor,opp.Samartheshwar Temple, Law Garden,Ellis Bridge, AHMEDABAD, GUJARAT, 380006","Jan 01, 2016 - Perpetual",,
INM000012029,Merchant Bankers,AXIS CAPITAL LIMITED(FORMALY ENAM SECURITIES PRIVATE LIMITED),complianceibd@axiscap.in,9102243251199,"AXIS HOUSE, 1st  FLOOR, , P B MARG, WORLI, MUMBAI, MAHARASHTRA, 400025","Jan 02, 2013 - Perpetual",,
INM000013208,Merchant Bankers,Bajaj Capital Securities Limited,sukhbeer@bajajcapitalsec.com,911167000000,"Mezzanine Floor 97 Bajaj House Nehru Place New Delhi, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019","Oct 01, 2024 - Perpetual",,
INM000002699,Merchant Bankers,BANK OF MAHARASHTRA,,,"LOKMANGAL, 1501, SHIVAJINAGAR, PUNE, PUNE, MAHARASHTRA, 411005","Oct 16, 2014 - Perpetual",,
INM000002129,Merchant Bankers,BARCLAYS BANK  PLC,,,,"Aug 16, 2014 - Perpetual",,
INM000011989,Merchant Bankers,BASAN FINANCIAL SERVICES LTD.,,040 64645000,"# 3-6-65, 2ND FLOOR, , BESIDE SKYLINE THEATRE, BASHEERBAGH,, ANDHRA PRADESH, 500012","Jul 13, 2012 - Perpetual",,
INM000012078,Merchant Bankers,BCB BROKERAGE PVT. LTD,bbplmumbai@bcbbrokerage.com,9102222720000,"1207/A P J TOWER,, DALAL STREET FORT, MUMBAI, MAHARASHTRA, 400001","Aug 28, 2013 - Perpetual",,
INM000012546,Merchant Bankers,BEELINE BROKING LIMITED,compliance@beelinebroking.com,9107966664000,"A 701-702, Samudra Complex, Near Girish Cold Drink, Off. C. G. Road, Navrangpura,, AHMEDABAD, GUJARAT, 380009","Jun 04, 2018 - Perpetual",,
INM000012917,Merchant Bankers,BEELINE CAPITAL ADVISORS PRIVATE LIMITED,compliance@beelinemb.com,910520449185784,"B-1311-1314, Thirteenth Floor, Shilp Corporate Park, Rajpath-Rangoli Road, Thaltej, AHMEDABAD, GUJARAT, 380054","Apr 11, 2022 - Perpetual",,
INM000011641,Merchant Bankers,BNK SECURITIES PVT. LTD.,sanat.mondal@bnkcapital.com,913322810561,"2, PALM AVENUE, MAYFAIR TOWERS, KOLKATA, WEST BENGAL, 700019","Feb 22, 2015 - Perpetual",,
INM000011534,Merchant Bankers,BNP PARIBAS,,2233705009,"62, HOMJI STREET, FRENCH BANK BUILDING, FORT,, MUMBAI, MAHARASHTRA, 400001","Jul 24, 2014 - Perpetual",,
INM000009926,Merchant Bankers,BOB CAPITAL MARKETS LTD,,02261389300,"SOUTH WING, 3RD FLOOR, UTI TOWER, BANDRA KURLA COMPLEX, , BANDRA (EAST), MUMBAI, MUMBAI, MAHARASHTRA, 400051","Sep 25, 2014 - Perpetual",,
INM000011625,Merchant Bankers,BofA Securities India Limited,dg.india_ibk_compliance@bofa.com,9102266328000,"Ground Floor, A Wing, One BKC, , G Block, Bandra Kurla Complex, Bandra (East), MUMBAI, MAHARASHTRA, 400051","Feb 15, 2015 - Perpetual",,
INM000012201,Merchant Bankers,BOI MERCHANT BANKERS LTD.,,91 22 2654 2289,"G BLOCK, 7th FLOOR, STAR HOUSE, BANDRA-KURLA COMPLEX, BANDRA EAST, MUMBAI, MAHARASHTRA, 400051","Jan 21, 2015 - Perpetual",,
INM000012306,Merchant Bankers,Bonanza Portfolio Limited,mbregulatory@bonanzaonline.com,9102268363700,"4353/4C, Madan Mohan Street, Ansari Road,Daryaganj, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110002","Sep 30, 2016 - Perpetual",,
INM000002558,Merchant Bankers,CANARA BANK,,08022233771,"HEAD OFFICE, 112 JC ROAD, BANGALORE, KARNATAKA, 560002","Jul 16, 2014 - Perpetual",,
INM000012795,Merchant Bankers,CAPITAL FORTUNES VENTURES PRIVATE LIMITED,compliance@capitalfortunesventures.com,914066038300,"8-2-698, 403, 5TH FLOOR, M J TOWERS, BANJARAHILLS, ROAD NO 12, HYDERABAD, TELANGANA, 500034","Dec 14, 2020 - Perpetual",,
INM000012219,Merchant Bankers,CAPITAL SQUARE ADVISORS PVT. LTD.,,022 66849999,"208, AARPEE CENTRE, MIDC ROAD NO. 11, CTS - 70, ANDHERI (E), MUMBAI, MAHARASHTRA, 400093","Jun 02, 2015 - Perpetual",,
INM000013493,Merchant Bankers,CAPRI GLOBAL CAPITAL MARKETS PRIVATE LIMITED,ajay.manglunia@capriglobal.in,02240888103,"A 702 PENINSULA BUSINESS PARK, SENAPATI BAPAT MARG LOWER PAREL, MUMBAI, MAHARASHTRA, 400013","Jun 05, 2026 - Perpetual",,
INM000013068,Merchant Bankers,CATALYST CAPITAL PARTNERS PRIVATE LIMITED,poonamchand@catalystcapital.in,002220891701,"103A Shantinath Apts, S V Road Near State Bank of India Borivali West, MUMBAI, MAHARASHTRA, 400092","Oct 28, 2023 - Perpetual",,
INM000013420,Merchant Bankers,Centrum Broking Limited,compliance@centrum.co.in,9102242159023,"Level 9, Centrum House, C.S.T. Road, Vidyanagari Marg, Kalina, Santacruz (E),, MUMBAI, MAHARASHTRA, 400098","Mar 11, 2026 - Perpetual",,
INM000010445,Merchant Bankers,CENTRUM CAPITAL LIMITED (FORMERLY CENTRUM FINANCE LTD),balakrishna.kumar@centrum.co.in,0222242159000,"Level 9, Centrum House, CST Road, Vidhyanagri Marg, Kalina Satacruz East, MUMBAI, MAHARASHTRA, 400098","Jul 16, 2016 - Perpetual",,
INM000012052,Merchant Bankers,CHARTERED FINANCE MANAGEMENT PRIVATE LIMITED,,912222696944,"2ND FLOOR, WAKEFIELD HOUSE, SPROFT ROAD, BALLARD ESTATE, MUMBAI, MAHARASHTRA, 400038","May 17, 2013 - Perpetual",,
INM000011872,Merchant Bankers,CHOICE CAPITAL ADVISORS PVT. LTD.,regulator_advisors@choiceindia.com,912267079999,"SHREE SHAKAMBHARI CORPORATE PARK, Plot No. 156-158, CHAKRAVATI ASHOK SOCIETY,, J. B. NAGAR, ANDHERI (EAST), MUMBAI, MUMBAI, MAHARASHTRA, 400099","Sep 30, 2011 - Perpetual",,
INM000009694,Merchant Bankers,CIL SECURITIES LTD,advisors@cilsecurities.com,04069011111,"214, Raghva Ratna Towers, CHIRAG ALI LANE, ABIDS, HYDERABAD, TELANGANA, 500001","Jul 01, 2014 - Perpetual",,
INM000010718,Merchant Bankers,CITIGROUP GLOBAL MARKETS INDIA PVT. LTD.,cgmcompliance@citi.com,912261759999,"1202, 12TH FLOOR, FIRST INERNATIONAL FINANCIAL CENTRE, G BLOCK, BKC, BANDRA (EAST), MUMBAI, MAHARASHTRA, 400098","Mar 01, 2016 - Perpetual",,
INM000010619,Merchant Bankers,CLSA INDIA PRIVATE LIMITED,Compliance-India@clsa.com,912266505050,"8/F DALAMAL HOUSE,, NARIMAN POINT,, MUMBAI, MAHARASHTRA, 400021","Dec 18, 2013 - Perpetual",,
INM000011328,Merchant Bankers,COMFORT SECURITIES LTD,alok@comfortsecurities.co.in,02202268948500,"A-301, HETAL ARCH,, S. V. ROAD, MALAD (W), MUMBAI, MAHARASHTRA, 400064","May 12, 2014 - Perpetual",,
INM000012276,Merchant Bankers,CORPORATE CAPITAL VENTURES PRIVATE LIMITED,info@ccvindia.com,01141824066,"223, 2nd Floor, US COMPLEX, OPP APOLLO HOSPITAL, MATHURA ROAD, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110076","Jul 14, 2016 - Perpetual",,
INM000013095,Merchant Bankers,CORPORATE MAKERS CAPITAL LIMITED,compliance@corporatemakers.in,01145789800,"611 6TH FLOOR  PRAGATI TOWER, RAJENDRA PLACE, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110008","Feb 20, 2024 - Perpetual",,
INM000011435,Merchant Bankers,CORPORATE PROFESSIONALS CAPITAL PVT. LTD.,,NA,"D 28, South Extension, Part 1, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110049","Jan 05, 2014 - Perpetual",,
INM000012962,Merchant Bankers,Corpwis Advisors Private Limited,compliance@corpwis.com,912249729990,"G-07, Ground Floor, The Summit Business Park, , Andheri Kurla Road, Behind Guru Nanak Petrol Pump, Andheri East, MUMBAI, MAHARASHTRA, 400093","Jan 31, 2023 - Perpetual",,
INM000013411,Merchant Bankers,CREDORA PARTNERS PRIVATE LIMITED,Pankaj.passi@credorapartners.com,918130678743,"6th Floor, B Wing, GSC Tower, , Sector 30, GURUGRAM, HARYANA, 122001","Feb 26, 2026 - Perpetual",,
INM000013129,Merchant Bankers,Cumulative Capital Private Limited,bhavna@cumulativecapital.group,917490006833,"B 309-311 215 Atrium, Co Op Premises, , Andheri Kurla Road, Near Courtyard Marriot Hotel, MUMBAI, MAHARASHTRA, 400093","May 16, 2024 - Perpetual",,
INM000011484,Merchant Bankers,D & A FINANCIAL SERVICES PVT. LTD.,investors@dnafinserv.com,911141326121,"13, COMMUNITY CENTRE, EAST OF KAILASH, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110065","May 06, 2014 - Perpetual",,
INM000011336,Merchant Bankers,DAM CAPITAL ADVISORS LIMITED,compliance@damcapital.in,912242022500,"PG 1, Rotunda Building, Ground Floor, Dalal Street, Fort, MUMBAI, MAHARASHTRA, 400001","Sep 15, 2020 - Perpetual",,
INM000010676,Merchant Bankers,DARASHAW & COMPANY PRIVATE LTD (FORMERLY BADAR FINANC,,02266306612,"1205-06, REGENT CHAMBERS,, 208, NARIMAN POINT,, MUMBAI, MAHARASHTRA, 400021","Nov 16, 2015 - Perpetual",,
INM000012892,Merchant Bankers,DBS Bank India Ltd,complianceindia@dbs.com,09102266388887,"GF Nos 11 & 12.  FF Nos. 110 to 115, Capital Point Bks Marg, Connaught Place, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","Dec 30, 2021 - Perpetual",,
INM000010395,Merchant Bankers,DEUTSCHE BANK,,71584600,"HAZARIMAL SOMANI MARG, FORT, MUMBAI, MAHARASHTRA, 400001","Dec 01, 2015 - Perpetual",,
INM000010833,Merchant Bankers,DEUTSCHE EQUITIES INDIA PRIVATE LIMITED,sanjiv.nagar@db.com,0227184600,,"Feb 24, 2016 - Perpetual",,
INM000013299,Merchant Bankers,DHANAM CAPITAL ADVISORS PRIVATE LIMITED,info@dhanamcapital.in,911414114945,"2nd Floor-578, BL HOUSE, Mahaveer Nagar, Tonk Road, Durgapura, Jaipur, JAIPUR, RAJASTHAN, 302018","Jul 15, 2025 - Perpetual",,
INM000013332,Merchant Bankers,DIGGI CORPORATE ADVISORS PRIVATE LIMITED,foram@diggicorporate.com,0220228424056733,"912, CORPORATE ANNEXE, SONAWALA ROAD NR.UDYOG BHAWAN, GOREGAON EAST, MUMBAI, MAHARASHTRA, 400063","Sep 29, 2025 - Perpetual",,
INM000013314,Merchant Bankers,DIMENSION FINANCIAL SOLUTIONS PRIVATE LIMITED,compliance@dimensionfinancial.co.in,01204151349,"302, Dakha Chamber, 38/2068, Naiwala Karol Bagh, New Delhi, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110005","Sep 22, 2025 - Perpetual",,
INM000012643,Merchant Bankers,DOLAT FINSERV PRIVATE LIMITED,ashish@dolatcapital.com,912265704167,"OFFICE NO. 141 , CENTER POINT, SOMNATH, DAMAN, DAMAN AND DIU, 396210","Jan 30, 2019 - Perpetual",,
INM000010650,Merchant Bankers,EDELWEISS FINANCIAL SERVICES LTD,ib.compliance@edelweissfin.com,912240863535,"EDELWEISS HOUSE, OFF. C.S.T. ROAD, KALINA, MUMBAI, MUMBAI, MAHARASHTRA, 400098","Oct 16, 2015 - Perpetual",,
INM000013040,Merchant Bankers,EKADRISHT CAPITAL PRIVATE LIMITED,info@ekadrisht.com,00002226830300,"1102, Summitt Business Bay, Chakala,, Andheri Kurla Road, Andheri East, MUMBAI, MAHARASHTRA, 400093","Sep 05, 2023 - Perpetual",,
INM000011104,Merchant Bankers,ELARA CAPITAL (INDIA) PRIVATE LIMITED,amit.bondre@elaracapital.com,912261648599,"ONE INTERNATIONAL CENTER (FORMERLY INDIABULLS FINANCE CENTRE), TOWER 3, 21ST FLOOR, SENAPATI BAPAT MARG, ELPHINSTONE ROAD WEST,, MUMBAI, MAHARASHTRA, 400013","Mar 07, 2016 - Perpetual",,
INM000013387,Merchant Bankers,EMIRATES NBD CAPITAL INDIA PRIVATE LIMITED,emcapindia@emiratesnbd.com,912262785535,"A/1204, G Block, C 70, The Capital,, Bandra Kurla Complex, Bandra (East),, MUMBAI, MAHARASHTRA, 400051","Jan 28, 2026 - Perpetual",,
INM000011229,Merchant Bankers,EMKAY GLOBAL FINANCIAL SERVICES LIMITED (FORMERLY EMKAY SHARE AND STOCK BROKERS LIMITED),anil.jagtap@emkayglobal.com,9102266299299,"THE RUBY, 7TH FLOOR, SENAPATI BAPAT MARG,, DADAR-WEST, MUMBAI, MUMBAI, MAHARASHTRA, 400028","Sep 07, 2013 - Perpetual",,
INM000011286,Merchant Bankers,EQUIRUS CAPITAL (P) LTD,coecpl@equirus.com,9102243320700,"Unit No 2601B 26th Floor A Wing Marathon Futurex, Mafatlal Mills Compound N M Joshi Marg Lower Parel, MUMBAI, MAHARASHTRA, 400013","Feb 13, 2014 - Perpetual",,
INM000010700,Merchant Bankers,Ernst & Young Merchant Banking Services LLP,eymbs@in.ey.com,912261920000,"The Ruby 14th Floor, 29 Senapati Bapat Marg Dadar West, MUMBAI, MAHARASHTRA, 400028","Jan 28, 2022 - Perpetual",,
INM000013280,Merchant Bankers,ERUDORE CAPITAL PRIVATE LIMITED,info@erudorecapital.com,9102246604034,"Office No. 304, Third Floor, Morya Grand, , Veera Desai Industrial Estate Road, Andheri West,, MUMBAI, MAHARASHTRA, 400053","Jun 17, 2025 - Perpetual",,
INM000012874,Merchant Bankers,Expert Global Consultants Private limited,shobhit.agrawal@expertglobal.in,9102235210873,"503-504, 5th Floor, RG Trade Tower, Netaji Subhash Place, Pitampura, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110034","Nov 15, 2021 - Perpetual",,
INM000010163,Merchant Bankers,Fedex Securities Private Limited,,,"B, 3rd Floor, Jay Chambers, Dayaldas Road, Vile Parle (E), MUMBAI, MAHARASHTRA, 400057","Feb 01, 2015 - Perpetual",,
INM000013244,Merchant Bankers,Finaax Capital Advisors Private Limited,compliance@finaaxcapital.com,919537594321,"B-401, The First, Beside Keshav Baug Party Plot, IIM, AHMEDABAD, GUJARAT, 380015","Dec 05, 2024 - Perpetual",,
:,Registrars to an Issue and Share Transfer Agents,,,,,,,
INR000001773,Registrars to an Issue and Share Transfer Agents,3I INFOTECH LIMITED (FORMERLY ICICI INFOTECH LTD),,02267928000,"TOWER # 5, 3RD TO 6TH FLOOR, INTERNATIONAL INFOTECH PARK, VASHI STATION COMPLEX, MAHARASHTRA, 400703","Nov 01, 2015 - Perpetual",,
INR000000379,Registrars to an Issue and Share Transfer Agents,AARTHI CONSULTANTS PRIVATE LIMITED.,gjmohan@aarthiconsultants.com,914027638111,"8-3-1084, Plot No.50, SRINAGAR COLONY, BANJARA HILLS, HYDERABAD, TELANGANA, 500034","Sep 01, 2015 - Perpetual",,
INR000003829,Registrars to an Issue and Share Transfer Agents,ABHIPRA CAPITAL LTD.,,01142390725,"GF 58-59, WORLD TRADE CENTRE, BARAKHAMBA LANE, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","Dec 01, 2015 - Perpetual",,
INR000001286,Registrars to an Issue and Share Transfer Agents,ABS CONSULTANT PRIVATE LIMITED,absconsultant@vsnl.net,03322301043,,"Jul 01, 2016 - Perpetual",,
INR000004173,Registrars to an Issue and Share Transfer Agents,ACCURATE SECURITIES AND REGISTRY PRIVATE LIMITED,INFO@ACCURATESECURITIES.COM,07900048000319,"203, SHANGRILA ARCADE, ABOVE SAMSUNG SHOWROOM,, SHYAMAL CROSS ROADS, SATELLITE,, AHMEDABAD, GUJARAT, 380015","Sep 03, 2015 - Perpetual",,
INR000002227,Registrars to an Issue and Share Transfer Agents,ADROIT CORPORATE SERVICES PVT. LTD.,adroits@vsnl.net,,,"Feb 01, 2016 - Perpetual",,
INR000002532,Registrars to an Issue and Share Transfer Agents,Alankit Assignments Limited,,,,"May 16, 2016 - Perpetual",,
INR000000767,Registrars to an Issue and Share Transfer Agents,ANKIT CONSULTANCY PVT. LTD.,,NA,"PLOT 60, PARDESHIPURA,, ELECTRONIC COMPLEX, INDORE, (M.P), INDORE, MADHYA PRADESH, 452010","Jan 01, 2016 - Perpetual",,
INR000004255,Registrars to an Issue and Share Transfer Agents,B.C.DEBATA & ASSOCIATES,bcdebata@gmail.com,916742302360,"PLOT NO 183/523, GAJAPATI NAGAR,NEAR PRESS CHAKA, BHUBANESWAR, ODISHA, 751005","Mar 13, 2019 - Perpetual",,
INR000004468,Registrars to an Issue and Share Transfer Agents,BEACON INVESTOR HOLDINGS PRIVATE LIMITED,contact@beaconrta.co.in,02244507423,"Unit No. F 1017, First Floor, F Wing, Phase I, Akshar Business Park, Plot No. 3, Sector 25, Vashi, NAVI MUMBAI, MAHARASHTRA, 400703","Jan 31, 2025 - Perpetual",,
INR000000262,Registrars to an Issue and Share Transfer Agents,BEETAL FINANCIAL & COMPUTER SERVICES PVT,,011 29961281/83,"BEETAL HOUSE, 99, MADANGIR, III FLOOR, (BEHIND LOCAL SHOPPING CENTRE, PUSHP VIHAR), NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110062","Aug 01, 2015 - Perpetual",,
INR000004041,Registrars to an Issue and Share Transfer Agents,BGSE FINANCIALS LTD,cs@bfsl.co.in,9180666773325,"51, STOCK EXCHANGE TOWERS, MAIN COMPLEX, 4TH FLOOR, SOUTH BLOCK, NO.51, 1ST CROSS, J. C. ROAD,, BANGALORE, KARNATAKA, 560027","Aug 01, 2016 - Perpetual",,
INR000001385,Registrars to an Issue and Share Transfer Agents,BIGSHARE SERVICES PVT. LTD.,mohan@bigshareonline.com,912262638200,"E/2, ANSA INDUSTRIAL ESTATE, SAKI-VIHAR ROAD, SAKINAKA, ANDHERI (E), MUMBAI, MAHARASHTRA, 400072","Jun 16, 2016 - Perpetual",,
INR200004031,Registrars to an Issue and Share Transfer Agents,BTS CONSULTANCY SERVICES PVT LTD,,,,"Jul 03, 2013 - Perpetual",,
INR000004440,Registrars to an Issue and Share Transfer Agents,C B Management Services Private Limited,rta@cbmsl.com,03369066200,"C-101, Embassy 247, L.B.S. Marg, Vikhroli (West),, MUMBAI, MAHARASHTRA, 400083","Oct 03, 2024 - Perpetual",,
INR000003753,Registrars to an Issue and Share Transfer Agents,CAMEO CORPORATE SERVICES LIMITED,,,"SUBRAMANIAN BUILDING, NO. 1 CLUB HOUSE ROAD, CHENNAI, TAMIL NADU, 600002","Apr 01, 2014 - Perpetual",,
INR000003621,Registrars to an Issue and Share Transfer Agents,CANBANK COMPUTER SERVICES LTD,ccslrnt@ccsl.co.in,(080) 23469661,"NO. 218, FIRST FLOOR, J P ROYALE, IIND MAIN,, SAMPIGE ROAD, NEAR 14TH CROSS, MALLESWARAM, BANGALORE, KARNATAKA, 560003","Jun 01, 2016 - Perpetual",,
INR000004200,Registrars to an Issue and Share Transfer Agents,CDSL Ventures Limited,sanjeevk@cdslindia.com,912261216905,"Marathon Futurex, A-Wing 25th Floor , N M Joshi Marg, Lower Parel (East), MUMBAI, MAHARASHTRA, 400013","Mar 26, 2018 - Perpetual",,
INR000002276,Registrars to an Issue and Share Transfer Agents,CIL SECURITIES LIMITED,,,"#214, RAGHAVA RATNA TOWERS,, CHIRAG ALI LANE, ABIDS,, ANDHRA PRADESH, 500001","Jan 16, 2013 - Perpetual",,
INR000003647,Registrars to an Issue and Share Transfer Agents,COMPUTECH SHARECAP LIMITED,helpdesk@computechsharecap.com,0222263500,,"Apr 01, 2016 - Perpetual",,
INR000002813,Registrars to an Issue and Share Transfer Agents,COMPUTER AGE MANAGEMENT SERVICES LIMITED,sv_karthick@camsonline.com,04430212924,"NEW NO.10, OLD NO 178, MGR SALAI, CHENNAI, TAMIL NADU, 600034","Sep 16, 2015 - Perpetual",,
INR000004404,Registrars to an Issue and Share Transfer Agents,CYBRILLA TECHNOLOGIES PRIVATE LIMITED,satish@cybrilla.com,9916599187,"Number 1660 and 1661 , The Millers Autograph 1st Floor 27th Main 2nd Sector HSR Layout, BANGALORE, KARNATAKA, 560102","Mar 27, 2024 - Perpetual",,
INR000000403,Registrars to an Issue and Share Transfer Agents,DATA SOFTWARE RESEARCH COMPANY P LTD ( LIMITED),,044 28211664,"KASTURI TOWERS, 6, SMITH ROAD,, CHENNAI, TAMIL NADU, 600002","Sep 16, 2015 - Perpetual",,
INR000000874,Registrars to an Issue and Share Transfer Agents,DATAMATICS BUSINESS SOLUTIONS LIMITED,compliance_officer@datamaticsbpm.com,9102266712201,"Plot No. B 5  Part B Crosslane, MIDC ANDHERI EAST, MUMBAI, MAHARASHTRA, 400093","Dec 16, 2015 - Perpetual",,
INR000004431,Registrars to an Issue and Share Transfer Agents,Elevate Fintech Private Limited,info@elevatefintech.in,0919948339040,"5-9-91 & 93, Flat No. 204, Shakti Sai Complex, Chapel Road, Nampally, HYDERABAD, TELANGANA, 500001","Sep 02, 2024 - Perpetual",,
INR000004529,Registrars to an Issue and Share Transfer Agents,EVERMORE STOCK BROKERS PRIVATE LIMITED,ACCOUNTS@EVERMORE.IN,02242229919,"F-003, 15th Floor, Tower-1, GANDHINAGAR, GUJARAT, 382355","Jan 07, 2026 - Perpetual",,
INR000003563,Registrars to an Issue and Share Transfer Agents,FREEDOM REGISTRY LIMITED,support@freedomregistry.co.in,9102268959000,"403 - A, B wing, 4th Floor, Reliable Tech Park, Belapur Road,  Airoli, Thane, NAVI MUMBAI, MAHARASHTRA, 400708","Jul 10, 2026 - Perpetual",,
INR200003967,Registrars to an Issue and Share Transfer Agents,GNSA INFOTECH PVT LTD,,04442962025,"nelson Chambers, E & F BLOCK, # 115 NELSON MANICKAM ROAD, AMINTHAKARAI, CHENNAI, TAMIL NADU, 600029","Dec 13, 2013 - Perpetual",,
INR000004228,Registrars to an Issue and Share Transfer Agents,GOLDVISTAS INVESTOR SERVICES PRIVATE LIMITED,cs.skannan@gmail.com,9108026423445,"No.13, Gr. Floor, 1st Main Road,, Venkateshwara Layout, Attiguppe, Vijayanagara, BANGALORE, KARNATAKA, 560040","Jan 03, 2019 - Perpetual",,
INR000004334,Registrars to an Issue and Share Transfer Agents,Harmilap Share Transfer Agents,hramilapsta@gmail.com,9108929835991,"Shop No 2 & 3 Ground Floor, A 90 & 91 Indra Nagar, Near New Subzi Mandi, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110033","Jul 02, 2021 - Perpetual",,
INR000004486,Registrars to an Issue and Share Transfer Agents,HORIZON FINANCIAL CONSULTANTS PRIVATE LIMITED,COMP@HORIZON.NET.CO,03303348223223,"56E HEMANTA BASU SARANI, STEPHEN HOUSE ROOM NO.62, KOLKATA, WEST BENGAL, 700001","Sep 04, 2025 - Perpetual",,
INR000004291,Registrars to an Issue and Share Transfer Agents,INDO MONEY SECURITIES PRIVATE LIMITED,COMPLIANCE@INDOMONEY.IN,911122893600,"102, FIRST FLOOR, JHILMIL METRO STATION COMPLEX, JHILMIL, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110095","Jan 22, 2020 - Perpetual",,
INR000003845,Registrars to an Issue and Share Transfer Agents,INDUS PORTFOLIO PRIVATE LIMITED,rs.kushwaha@indusinvest.com,01101147671200,"1ST FLOOR, GOPAL COMPLEX, CIVIL ROAD, ROHTAK HARYANA, ROHTAK, HARYANA, 124001","Sep 06, 2013 - Perpetual",,
INR000000544,Registrars to an Issue and Share Transfer Agents,INTEGRATED REGISTRY MANAGEMENT SERVICES PRIVATE LIMITED,,,"2nd FLOOR, KENCES TOWERS, 1, RAMAKRISHNA STREET,, NORTH USMAN ROAD, T. NAGAR, CHENNAI, TAMIL NADU, 600017","Nov 01, 2015 - Perpetual",,
INR300000061,Registrars to an Issue and Share Transfer Agents,ITC LIMITED,,na,"VIRGINIA HOUSE, 37 JAWAHARLAL NEHRU ROAD, KOLKATA, WEST BENGAL, 700071","Jun 16, 2016 - Perpetual",,
INR000003555,Registrars to an Issue and Share Transfer Agents,JUPITER CORPORATE SERVICES LIMITED,,,"AMBUJA TOWER, OPP SINDHU BHAVAN, SINDHU BHAVAN ROAD, BODAKDEV, P.O. THALTEJ,, AHMEDABAD, GUJARAT, 380059","Jun 16, 2015 - Perpetual",,
INR000000221,Registrars to an Issue and Share Transfer Agents,KFIN TECHNOLOGIES LIMITED,compliance.corp@kfintech.com,912249620337,"301, The Centrium, 3rd Floor,  , Lal Bahadur Shastri, Nav Pada, Kurla West,, MUMBAI, MAHARASHTRA, 400070","Jul 15, 2019 - Perpetual",,
INR000001666,Registrars to an Issue and Share Transfer Agents,LML LIMITED,,+91+919235360373,"C-10, PANKI INDUSTRIAL ESTATE,, NA, KANPUR, UTTAR PRADESH, 208022","Nov 16, 2015 - Perpetual",,
INR000004370,Registrars to an Issue and Share Transfer Agents,MAASHITLA SECURITIES PRIVATE LIMITED,compliance@maashitla.com,911145121795,"451, KRISHNA APRA BUSINESS SQUARE, NETAJI SUBHASH PLACE, PITAMPURA, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110034","Apr 25, 2022 - Perpetual",,
